NormalGround,NormalGround1,-2.5,0,0,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround2,-2.5,0,-5,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround3,2.5,0,0,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround4,2.5,0,-5,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround5,-2.5,0,5,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround6,2.5,0,5,0,0,0,1,1,1,0,0,0,0,0,,0,
MoveGround,MoveGround1,0,0,10,0,2,15,1,1,1,0.1,60,0,0,0,,0,
NormalGround,NormalGround7,0,2,20,0,0,0,1,1,1,0,0,0,0,0,,0,
MoveGround,MoveGround2,0,2,25,10,3,25,1,1,1,0.1,60,0,0,0,,0,
MoveGround,MoveGround3,25,4,25,15,3,25,1,1,1,0.1,60,0,0,0,,0,
NormalGround,NormalGround8,30,4,25,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround9,35,4,25,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround10,35,4,30,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround11,30,4,30,0,0,0,1,1,1,0,0,0,0,0,,0,
BoundGround,BoundGround1,30,4,35,0,0,0,1,1,1,0,0,0,0,0,,0,
BoundGround,BoundGround2,35,4,35,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround12,30,9,40,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround13,30,9,45,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround14,35,9,45,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround15,35,9,50,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround16,30,9,50,0,0,0,1,1,1,0,0,0,0,0,,0,
BoundGround,BoundGround3,40,9,50,0,0,0,1,1,1,0,0,0,0,0,,0,
BoundGround,BoundGround4,45,14,50,0,0,0,1,1,1,0,0,0,0,0,,0,
BoundGround,BoundGround5,40,19,50,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround17,45,24,50,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround18,50,24,50,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround19,50,24,55,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround20,45,24,55,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround21,50,24,60,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround22,45,24,60,0,0,0,1,1,1,0,0,0,0,0,,0,
Propeller,Propeller1,47.5,24,72,0,0,0,1.5,1,1.5,0,0,0,0.5,0,,0,
NormalGround,NormalGround23,45,24,84,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround24,50,24,84,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround25,50,24,89,0,0,0,1,1,1,0,0,0,0,0,,0,
NormalGround,NormalGround26,45,24,89,0,0,0,1,1,1,0,0,0,0,0,,0,
