NormalGround,NormalGround1,-2.5,0,-5,0,0,0,1,1,1,0,0,0,0,0,
NormalGround,NormalGround2,2.5,0,-5,0,0,0,1,1,1,0,0,0,0,0,
NormalGround,NormalGround3,2.5,0,0,0,0,0,1,1,1,0,0,0,0,0,
NormalGround,NormalGround4,-2.5,0,0,0,0,0,1,1,1,0,0,0,0,0,
DropGround,DropGround1,0,0,8,0,0,0,1,1,1,0.1,60,0,0,0,
NormalGround,NormalGround5,2.5,0,11.5,0,0,0,1,1,1,0,0,0,0,0,
NormalGround,NormalGround6,-2.5,0,11.5,0,0,0,1,1,1,0,0,0,0,0,
NormalGround,NormalGround7,-2.5,0,16.5,0,0,0,1,1,1,0,0,0,0,0,
NormalGround,NormalGround8,2.5,0,16.5,0,0,0,1,1,1,0,0,0,0,0,
Switch,Switch1,2.5,0.3,14,0,0,0,1,1,1,0,0,0,0,0,
Switch,Switch2,-2.5,0.3,14,0,0,0,1,1,1,0,0,0,0,0,
